result_id,race_id,driver_id,constructor_id,number,grid,position,position_text,position_order,points,laps,time,milliseconds,fastest_lap,rank,fastest_lap_time,fastest_lap_speed,ingestion_date
1,18,1,1,22,1,1,1,1,10,58,1:34:50.616,5690616,39,2,1:27.452,218.3,2024-09-05T09:22:44.733Z
2,18,2,2,3,5,2,2,2,8,58,+5.478,5696094,41,3,1:27.739,217.586,2024-09-05T09:22:44.733Z
3,18,3,3,7,7,3,3,3,6,58,+8.163,5698779,41,5,1:28.090,216.719,2024-09-05T09:22:44.733Z
4,18,4,4,5,11,4,4,4,5,58,+17.181,5707797,58,7,1:28.603,215.464,2024-09-05T09:22:44.733Z
5,18,5,1,23,3,5,5,5,4,58,+18.014,5708630,43,1,1:27.418,218.385,2024-09-05T09:22:44.733Z
6,18,6,3,8,13,6,6,6,3,57,\N,null,50,14,1:29.639,212.974,2024-09-05T09:22:44.733Z
7,18,7,5,14,17,7,7,7,2,55,\N,null,22,12,1:29.534,213.224,2024-09-05T09:22:44.733Z
8,18,8,6,1,15,8,8,8,1,53,\N,null,20,4,1:27.903,217.18,2024-09-05T09:22:44.733Z
9,18,9,2,4,2,null,R,9,0,47,\N,null,15,9,1:28.753,215.1,2024-09-05T09:22:44.733Z
10,18,10,7,12,18,null,R,10,0,43,\N,null,23,13,1:29.558,213.166,2024-09-05T09:22:44.733Z
11,18,11,8,18,19,null,R,11,0,32,\N,null,24,15,1:30.892,210.038,2024-09-05T09:22:44.733Z
12,18,12,4,6,20,null,R,12,0,30,\N,null,20,16,1:31.384,208.907,2024-09-05T09:22:44.733Z
13,18,13,6,2,4,null,R,13,0,29,\N,null,23,6,1:28.175,216.51,2024-09-05T09:22:44.733Z
14,18,14,9,9,8,null,R,14,0,25,\N,null,21,11,1:29.502,213.3,2024-09-05T09:22:44.733Z
15,18,15,7,11,6,null,R,15,0,19,\N,null,18,10,1:29.310,213.758,2024-09-05T09:22:44.733Z
16,18,16,10,20,22,null,R,16,0,8,\N,null,8,17,1:32.021,207.461,2024-09-05T09:22:44.733Z
17,18,17,9,10,14,null,R,17,0,0,\N,null,null,null,\N,null,2024-09-05T09:22:44.733Z
18,18,18,11,16,12,null,R,18,0,0,\N,null,null,null,\N,null,2024-09-05T09:22:44.733Z
19,18,19,8,19,21,null,R,19,0,0,\N,null,null,null,\N,null,2024-09-05T09:22:44.733Z
20,18,20,5,15,9,null,R,20,0,0,\N,null,null,null,\N,null,2024-09-05T09:22:44.733Z
21,18,21,10,21,16,null,R,21,0,0,\N,null,null,null,\N,null,2024-09-05T09:22:44.733Z
22,18,22,11,17,10,null,D,22,0,58,\N,null,44,8,1:28.736,215.141,2024-09-05T09:22:44.733Z
23,19,8,6,1,2,1,1,1,10,56,1:31:18.555,5478555,37,2,1:35.405,209.158,2024-09-05T09:22:44.733Z
24,19,9,2,4,4,2,2,2,8,56,+19.570,5498125,39,6,1:35.921,208.033,2024-09-05T09:22:44.733Z
